method,channel,mean,std,count,q025,q975,cv,ci_width,category
Time Decay (7.0d),Social,0.0979443572837611,0.0114884634251143,100,0.0736639276475331,0.1204997821627112,0.1172958171733191,0.046835854515178,Rule-based
Transformer (2L/2H),Direct,0.1607974357903003,0.0901757053196659,20,0.0544415984302759,0.3185129687190056,0.5608031302020646,0.2640713702887297,Deep Learning
Transformer (2L/2H),Display,0.1393749700859189,0.0614903980607072,20,0.0472502439282834,0.2365703050047158,0.4411868072351942,0.1893200610764324,Deep Learning
Transformer (2L/2H),Email,0.107006949186325,0.0587417333347161,20,0.0281345113180577,0.2167326651513575,0.5489525099200104,0.1885981538332998,Deep Learning
Transformer (2L/2H),Organic Search,0.156971235293895,0.1109476707092853,20,0.0200965601485222,0.3693964958190917,0.706802558453207,0.3492999356705694,Deep Learning
Transformer (2L/2H),Paid Search,0.149469131603837,0.1052406603634819,20,0.0243129879236221,0.388270407170057,0.7040962855288327,0.3639574192464349,Deep Learning
Transformer (2L/2H),Referral,0.1096119818277657,0.0789288338194677,20,0.0255163997877389,0.2599701717495918,0.7200748723208872,0.2344537719618528,Deep Learning
Transformer (2L/2H),Social,0.1767682837322354,0.0833686277775586,20,0.0372457101009786,0.3091263003647327,0.4716266177242719,0.2718805902637541,Deep Learning
Survival/Poisson (AICPE),Direct,0.1829241289737516,0.0176472132894249,5,0.1644524696527322,0.2066633767869173,0.0964728567435584,0.0422109071341851,Causal
Survival/Poisson (AICPE),Display,0.0291528999600367,0.0018803128359165,5,0.0263491241808975,0.0308391471515664,0.0644983119516098,0.0044900229706688,Causal
Survival/Poisson (AICPE),Email,0.21125151333988,0.0206162150612011,5,0.1868407763779244,0.2364080030244674,0.0975908514701714,0.0495672266465429,Causal
Survival/Poisson (AICPE),Organic Search,0.0575550700589136,0.004109519777278,5,0.0542371050958715,0.0637281346750971,0.0714015250623705,0.0094910295792256,Causal
Survival/Poisson (AICPE),Paid Search,0.439778640215224,0.0252472932901843,5,0.4075649859965172,0.4703061188347343,0.0574090939883495,0.062741132838217,Causal
Survival/Poisson (AICPE),Referral,0.0597854949497367,0.0051297621442653,5,0.052723300938078,0.0657482840499587,0.0858027879267057,0.0130249831118807,Causal
Survival/Poisson (AICPE),Social,0.019552252502457,0.0039408216651279,5,0.0151166562718895,0.0250677758092091,0.2015533332864173,0.0099511195373196,Causal
Survival/Poisson (Shapley),Direct,0.13521471133699817,0.016812614706686664,5,0.11267882713442347,0.15514122403753614,0.12434012941671907,0.04246239690311267,Causal (incremental)
Survival/Poisson (Shapley),Display,0.08056370274129751,0.006946699261700047,5,0.07412013297317972,0.0899517936727555,0.0862261666895695,0.015831660699575784,Causal (incremental)
Survival/Poisson (Shapley),Email,0.19770434715768392,0.016992684624697375,5,0.18320112143594847,0.21612067767658438,0.08594997969945721,0.03291955624063592,Causal (incremental)
Survival/Poisson (Shapley),Organic Search,0.1372834518833324,0.018488007233868172,5,0.12003901906250737,0.1647807114479118,0.13467032610441523,0.044741692385404416,Causal (incremental)
Survival/Poisson (Shapley),Paid Search,0.2981600761821124,0.018097070195571004,5,0.2735638507266098,0.318720462804584,0.06069581959899133,0.04515661207797417,Causal (incremental)
Survival/Poisson (Shapley),Referral,0.11567304929199407,0.011679296779755776,5,0.10365300827166046,0.12989168295677855,0.1009681758304276,0.02623867468511809,Causal (incremental)
Survival/Poisson (Shapley),Social,0.035400661406581505,0.010116020306992135,5,0.023350577231690563,0.048187698580744495,0.2857579464634358,0.024837121349053932,Causal (incremental)
